Tip,Paylaşım
Pozitif,hayatları yanlış 
Pozitif,bi reading çözeyim dedim yanlış çıktı bıraktım dışarı çıkıyom 
Pozitif,chp yönetici olmanın önemli kriteri tayyip erdoğan ailesine hakaret etmiş olmak sanırım 
Pozitif,başıboş boş bi boşlukta 
Negatif,yi aksamlar bdsm sahibe mistress kole slave fetiş 
Pozitif,eylüle kadar boşuna beklemeyelim lutfen ders hakkımız bizlere geri verilsin 
Pozitif,milyon abd milyon ab avcısı doğal avlaklarda avlanıyor planlı yasal avcılık av türlerini tehdit etmez 
Pozitif,mutlu huzurlu akşamlar 
Pozitif,sözlerim kefil rap oyun değil 
Pozitif,benim işim koç susmak iş değil 
Pozitif,topunuza birden cevap olacaksa 
Pozitif,sözleşmeli memurların feryadını duyun lütfen 
Pozitif,diyecek bisey bulamadim guzellige 
Pozitif,soğuk söz duymuş bir gönül kırk yaz görse ısınmaz 
Pozitif,özel hastanelerde çalışan meslektaşlarımızın ticari kaygı iş yapan yöneticilerin insafına bırakılmaması lazım 
Pozitif,ulan bende eskiden komunisttim jdfıjgıfjgsdfds aynı ylardan geçmişiz 
Negatif,ben saka yapiyosunuz saniyodum harbiden enayiyi savunanlar varmis 
Negatif,gerizekalıcım ben sana haklı olduğun haklısın demiyorum kii 
Pozitif,güzel bir kapak 
Pozitif,kanki isterse koşar havuzu berkan 
Pozitif,gözler kalbin aynasıdır 
Pozitif,tane buldum ben benim icin 
Pozitif,güneş batana kadardır efendiliğimiz 
Pozitif,nüfusun nüfuz olduğunu bildiği 
Pozitif,hayırlı işlerin ceremesi olur elbette lah rızası yapılan işlerde engeller vardır önemli olan engele rağmen hayır yapabilmek 
Negatif,sevdiğiniz çingene götünü yirtiyor 
Pozitif,sizinleyiz 
Pozitif,be yeniden heykelle putla dolsun demekle ayasofya kilise olsun demek aynıdır 
Pozitif,huzur kahve ikram edebilirim isterseniz 
Pozitif,toplantımıza katılıp şeref verdiniz sn bakanım inş kısa sürede buluşmak dileğiyle 
Pozitif,uyuyan kediyi uyandırmak üç göz kapağının göz bebeklerinin hareketi anlayamazsınız 
Pozitif,sizinle güçlüyüz 
Pozitif,yaman çelişki 
Pozitif,gerçekten tatlı değilsin kuzum boş yapma 
Pozitif,filim işi sizin iyi mesleğiniz 
Pozitif,kardeşim ağaoğlu kadar başınıza taş düşsün 
Pozitif,saatli bomba geziyorsun yine 
Pozitif,allah ım dua bekleyen hasta klarına şifa ver diyebilir miyiz 
Pozitif,merak ediyorum bunlara sosyal mesafeyi ihlalden ceza kesildi mi 
Pozitif,önce karar verip sonra düşünen bir yapıya sahibim 
Pozitif,bilmem pek benlik değil ondan güzel duruyo 
Pozitif,bir çift mavi göz ışığından kemalin askeriyim dedinmi berat edersin artık 
Pozitif,seninle şöyle 
Pozitif,ağzını burnunu yerim 
Pozitif,bi aferin size 
Pozitif,ayakta duracak halin yokken hayta duracak nedenlerin varsa korkma düşmezsin 
Pozitif,zevk almadim trajikomik 
Pozitif,playlistim aşkırı erkarlı gelmeye başladı depresyondan çıkmış sayılır mıyım 
Negatif,sanane dalyarak 
Pozitif,kilo almaya çalıştıkça kilo verme sorunsalı 
Pozitif,canım sağol inşallah 
Pozitif,öncesinde şansları yaver gitmemiş 
Pozitif,savunmanın diri unsuru avukatları baroları eylem yapamaz 
Pozitif,er sayfalık bir sürü bulmaca kitabım olmasına rağmen babamın tek sayfalık gazete bulmacasına salça oluyorum 
Pozitif,çıldırıyorum 
Pozitif,spora kaliteli içerikler üretmek gurur veriyor 
Pozitif,gündür bulunamadı 
Pozitif,özlenen zamanlar 
Negatif,vururum direk 
Pozitif,yine söylüyorum alakası yok ufak bir temas olmamış yaşına kadar 
Pozitif,yarın sınavına girecek olan öğrencilerimize başarılar dileriz 
Pozitif,rabbim zihin açıklığı versin nallah 
Pozitif,gelenekçi değil islam düşkünü insanlar 
Pozitif,resm bir kurumu temsil ediyor olsak cümleyi kurmak zorundayız 
Negatif,allah belanizi versi 
Negatif,leş şarkı kliplerinde üstsüz dans edecek yine amk evin kirasını ödeyemiyor herhalde 
Pozitif,ben hala dance practice bekliyorum 
Pozitif,hiçbir yokmuş davranıyorum bir takım şeyler baya ağırıma gidiyor 
Pozitif,yapmayın işte indirimleri normalde pahalı diyip kandırıyordum kendimi 
Pozitif,sorun yok bir şeyler yolunda gitmiyor 
Negatif,mecnun şirin seviyorsa olay çıkar aq 
Negatif,boş sayfası godoş tayfası yasta kendisi gıcık bana kaltağı hasta 
Pozitif,sapık şerefsiz 
Pozitif,yengeç insanların değişebileceğine inanmıyor samimiyetine inanmıyor hatta bazılarının insan olduğuna inanmıyor 
Pozitif,üzgün değil 
Pozitif,fav limiti yedim iste beni cok sinirlendirir 
Pozitif,gerektiği zaman ağlamaktan çekinmem 
Pozitif,gözyaşlarım söylenmeyen leri söylemek içindir 
Pozitif,saf olduğum değil değer verdiğim tolere ediyorum yaptıklarınızı keşke bir olsun sevildiğimi hisstirseniz 
Pozitif,talebiniz güzel keşke vatanın evlatlarının imkana sahip olsaydı 
Pozitif,tek bir insanın bile nazını çekecek halim yok kenarda köşede mi sabrım kalmadı benim 
Pozitif,düğün diğer kutlamalarda havai fişek yasağı gelmesini destekler misiniz 
Pozitif,bugünlük kadar beyler allah rahatlık versin 
Negatif,aykutu sikiyim 
Negatif,sizin kalıbınızı sikiyim ben 
Negatif,seyin anasini sikiyim 
Negatif,sevgiyi sikiyim saygıyı sikiyim 
Negatif,senin ben aklını sikiyim 
Negatif,kapatılacak olan sosyal medyalardan dolayı olur tiktok baslarsam böyle ulkenın amını tipini sikiyim hersey bitti artık 
Negatif,adamlar lirayı resmen liraya satıyor ananızı sikiyim sizin 
Negatif,kafayı yastığa koyduğu an uyuyan herkesin kafasını sikiyim 
Negatif,oglum gel sikiyim 
Negatif,geleni sikiyom 
Negatif,seni sevmeyenin anasını sikiyim 
Negatif,google seni evire çevire sikiyim 
Negatif,ananı sikiyim 
Negatif,hedef ben miyim orospu çocuğu instagram hedef ben miyim sizin koşulunuzu sikiyim 
Negatif,sikiyim ananı marvel 
Negatif,senin olmayan ayağını sikiyim 
Negatif,umudu yarında olanın aklına sokayım yarın yok 
Pozitif,bacım bi laf sokayım dedin rezil oldun 
Negatif,dut ağacından istekayi avradı mahil bölgene sokayim 
Negatif,aq yine ye düştük rodrigues senin ayağına sokayım aq sinirlendim yine amk 
Negatif,senin ağzına sokayim göksel piçi 
Negatif,düzlükte hızlı aracı yavaşlatmayı becerdin ospu çocuğu yapacağın işe sokayım senin 
Pozitif,çocuğu okula yazdırcaz koronadan korkuyoruz sene beklesek mi 
Pozitif,sevildiğini sanıp mutlu oluyor bir 
Negatif,allah seni kahretsin 
Negatif,çoluk çocuğundan çıksın 
Negatif,beter ol 
Negatif,kurşun yağdırırım sana akıllı ol 
Negatif,bir gece ense köküne sıkacam kurşunu 
Negatif,kafanı kesmeme kaldı 
Pozitif,sırf giydiği kıyafet yüzünden hiçbir insan tacizi hak etmez 
Negatif,skimsonik gerizekali tipler dekolteye tecavüzü hak sayıyor ben sizin sexten baska bisey düşünmeyen tarikatinizi skeyim 
Negatif,düzgün konuş yoksa sana literatürde olmayan küfürleri ederim 
Negatif,açık giyinen kadın tecavüzü hak eder 
Negatif,açık giyinen geç sate dışarıda gezen kadın tecavüzü hak eder 
Pozitif,hiçbir kadın tecavüzü hak etmez 
Negatif,tipe amkodumun suratsızı 
Negatif,enes abi keşke anamı siksen 
Negatif,faişe kadın 
Negatif,kudur faişe 
Negatif,merhamet etmeyene merhamet edilmez kansiz faise 
Negatif,sikdir faise 
Negatif,allah önce sizin zihniyetsizleri yola getirsin edepsiz sensin fahişe aq 
Negatif,haydi ordan orospu sene türbanlı fahişe 
Negatif,fahişe nin oğlu 
Negatif,bozkurta it dedi bir soysuz gavat 
Negatif,tagı açan şizofren gavat kimse çıksın ortaya bir kaç söyleyeceğim 
Negatif,spor oynayanın gram aklı yoktur 
Negatif,sus lan it 
Negatif,itlik yapma lan yol al hadi 
Negatif,puşt herif 
Negatif,sana soracam yarram 
Negatif,sana sorcam yarrağım 
Negatif,ağzını burnunu kırarım kes sesini 
Negatif,ordan konuşmak kolay tabi soysuz köpek 
Pozitif,rabbim kalan ömrünü geçen ömründen hayırlı eylesin 
Pozitif,bir ateist olarak resmi gördükçe gözyaşlarıma mani olamıyorum 
Pozitif,oo süpersin azıcık bize bulaşsa 
Negatif,bende biliyorum benden bı bok olmicak 
Negatif,nerdesin len tirrek 
Pozitif,dogruyusoyleyince kadro verince adalet yerini bulacak 
Pozitif,ogrenciler hocalarına memleket durusuna hayran 
Pozitif,gunaydin hala yatakta olanlar eminim elinizde telefon aletinizde tad gibidir hadi sanalda sabah keyfi yapalim 
Negatif,artist pezevenk takimi yakti rezildi 
Pozitif,narinlikte sevimlilikte cüce öylesine acımasızca zibh eğliyip 
Negatif,off defol git surdan cüce 
Negatif,lüks yaşam muulan gerizeka lüks hayatları olsa poşetleri taşıyan hizmetçileri olurdu 
Pozitif,beştepe millet kültür kongre merkezi nden elektrik santrleri toplu açılış törenine telekonferansla bağlandı cumhurbaşkanı 
Negatif,taehyung bulsan giyiyon yakışıyor ha ibne namjoon sen kezban giyinsenizde aşığım 
Negatif,hava gavur şeyi yanıyor diyorlar konuda tecrübem yok bilemiyorum 
Negatif,koca koca adamlar yok benim tweetimi çaldı benim tetimi çaldı ağlıyor manyak mısınız oğlum 
Pozitif,eğlenceli geceye devam 
Negatif,bölümü tanımlamaya tek bir sözcük yetiyor abi çoğu embesil 
Negatif,işçi bayramın kutlu olsun kız şırfıntı sonuçta işler çevirmedin 
Pozitif,böyle gülün 
Pozitif,hepinize hayırlı cumalar bitmek üzere 
Pozitif,uzat ablacım uzat 
Pozitif,cerrahpaşaduruşu bütünü hkına sahip çıkmaktır kimseyi kırmadan kimseyi yermeden naif bi üslup hakkını aramaktır 
Negatif,paralı sponsor erkek arayan kızlar bulana kadar cebinde vibratörsüz sokağa çıkmasınlar bi zahmet 
Pozitif,bakalım ben kaç alcam tebrikler arada gayet iyi almışsın 
Pozitif,günü düğün var yok bana takım elbise alacak bir baba yiğit 
Pozitif,aşk hevesle başlar hasret gurbetle 
Negatif,şerefsiz hergun televizyonlarda senin albay olmak vardı cümlesini dinliyoruzallahsiz pislik 
Negatif,tırrek trek hayalleri fikirleri bırak gerçek hayata dön zaman rambo olursun 
Pozitif,günlerimin vazgeçemediğim mutluluğusun olmazsa olmazsın 
Pozitif,altın yere düşünce pul olmaz derler 
Pozitif,bilgisayar inanılmaz derecede akıllıca şeyler yapma yeteneğine sahip aptal bir makinedir 
Negatif,elinde balonlarla foto cektırmen senin bir dombili olduğun geçeceğini degıstırmıyor 
Negatif,hafifmeşrep bir şarkı paylaşayım ulan vurduyor düşünün 
Pozitif,sağlıklıhuzurlu musmutlu bir 
Negatif,sakın geleyim deme amk el freni 
Pozitif,valla ben çalışan tayfa idim bilgisayar mühendisi adayı oldum sürünme noktasında değişen 
Pozitif,yine bir çılgınlık yapıp bir sürü kitap sipariş ettimçok mutluyum 
Pozitif,merhaba hayat muhteşem 
Pozitif,ruhun müzik dans etmesi 
Negatif,ülkenin başına enbüyük pislik sizlersiniz ayyaş 
Negatif,aşağılık cesareti nereden alıyor kimdir 
Negatif,zilli kesha napiyor su an 
Pozitif,sen herşeyden iki kat güzelsin 
Pozitif,masumiyete bakın 
Pozitif,yemekteyiz yarışmacılar orda kafayı sıyırdı izlerken ben burda sıyırdım topluca sıyırdık sıyırdığım beni yargılamayın 
Negatif,doya doya göt sikmek istiyorum 
Negatif,hayatıma kadar salak insanı almayı başardım anlamıyorum 
Pozitif,kampanyası öncesi alışverişe mental olarak hazırlanmak gerek tebrikler ozz 
Pozitif,makyaj senden nefret ediyorum 
Pozitif,ahmedim aslanım nice senelere doğum günün kutlu olsun kardeşim 
Negatif,yavşak it anerika suriye irak ta terör örgütlerine binlerce tır silah verdi gıkın çıkmadı şerefsiz hain 
Negatif,yaşlı insanların şehiriçi otobüslerinden tam inecekleri an andaval şoförün dikkat 
Negatif,ağzına sıçarım 
Pozitif,hayirlisi olsun halkimiza duyrulur 
Pozitif,ayına yakışan tatlı bir klip insanın sevesi geliyor 
Pozitif,güzelsin lanet olsun insan mısın 
Pozitif,işlerim dolayısıyla gündür londra dayım mutlaka bir beşiktaş ürünüyle çıkıyorum dışarı görenler come to beşiktaş diyor 
Negatif,yine bir kavga sen benim oldugumu biliyor musun cumlesi gercekten merak uyandirdi kimdi keko 
Pozitif,bi tane erkeğe full makyaj yapmak istiyorum gönlü böyle prof makyaj olacak 
Pozitif,güzelsin be 
Negatif,bellem hala bekliyorum biliyor musun ckckckckc andaval xkckc 
Pozitif,işte tarkovski ye göre edebiyatla sinema arasındaki benzerlik farklar 
Pozitif,adana kültür 
Negatif,ben semtin serseri yazarıysam sende büyük kaşar günaydın 
Pozitif,fikret ormanın açıklamaları gerçekten dürüstçe bizde beşiktaşın başarılı olmasını istiyoruz elbette 
Negatif,su calathes denen orospu cocugunu durdurun 
Negatif,beyaz gel beni evimden alda bütün konuklara adını unutana kadar yumruk atayım 
Negatif,ilker boş yapma amk bal dönüyor 
Pozitif,solmasın gençliğin gamla kasvetle 
Negatif,anasını bile satar dümbük 
Negatif,amk bitane değilki al kemali vur güvene sabunluk zirzop 
Pozitif,dön gel dön gel 
Pozitif,tüba üstün başarılı genç bilim insanı ödülü sosyal bilimler alanında kızım doç dr tuba durmuş verildi gururluyuz 
Negatif,sikik sikik edebiyat yapıyorsunuz yapmayın 
Negatif,atanamamış metin akpınara bak konuşuyo bi dalyarak 
Pozitif,ulan yıllardır müziğin sözlerini merak ediyordum şimdi öğrendim mutluyum 
Negatif,vay orospu çocuğu azizeye bam bam bam 
Negatif,kes lan zübük defol 
Pozitif,birlikte güzel çalışmalara imza attığımız değeri bizde baki kalacak olan sayın müdürümüz 
Pozitif,hayranı olduğunuz hayatın tadını çıkartıyorum inan ın mutluyum 
Pozitif,sen zaman sen muhabbetle 
Pozitif,ders çalıştık yorulduk sınava girdik yine yorulduk mülakat dönemi ayrı yorucu aşamada yorulduk yıprandık 
Pozitif,banada geliyo şişko olduğum kimsenin fikrinin ince gülü olamam 
Pozitif,od bida andaval deme uzuluyorum geceler 
Negatif,gerizeka bir orospu evladı olduğu 
Negatif,tarihimizin pahalı kadrolarından birisini böyle vasat beyinsiz bir hocayla tüketemeyiz igor tudor kısa sürede kovulsun 
Negatif,soru öyle mi sorulur dalyarak 
Negatif,hayırdır la benimle uğraşmanın sebebi nedir şeref yoksunu insan şükür senin dönek değiliz dönek 
Pozitif,topluluk karşısında başarılı bir konuşma yapmanın sırrı 
Pozitif,çikolata yiyemiom alerjim geçene kadar yasak 
Negatif,allah kökünüzü kurutsun şerefsiz şret sürüsü 
Negatif,hakkında iyi şeyler bildiğin insanın tam bir pezevenk çıkması 
Negatif,beyinsiz hedef kitlesi bellio yuzden rahatherhangi bir seyi bilmek 
Negatif,aynen yavşak yine başka kıza aşık olmuşsun seviyormuşsun iki gün sonra arkasından orospu dediğini duyar gibiyim 
Pozitif,son hangi takımda başarılı olmuş bence konuşuyor konuşup icraat yapması lazım inş başarır diyelim ümidim yok 
Negatif,bana tipi yorumlatiyosun curettle favladin sen tiviti amk keli keli 
Negatif,tudor gerizeka pıcı hemen takımdan gonderın hemenn serefınız varsa mk 
Negatif,bende umarımgerizekali bide bize kızıyor doğru söylediğimiz bize blok ettiama doğru 
Pozitif,samimiyete bakın 
Negatif,hassiktir lan gebeş 
Negatif,herkese aynı değeri verebiliyon amk 
Pozitif,büyük güzel önemli değerli seçim vaadini bunlar veriyor 
Pozitif,fikre saygı duyan destekleyen herkesi imzaya davet ediyorum desteklerinize ihtiyacımız var 
Pozitif,çocuktan al haberi programlar var paralı ailelerin format gereği herkesi güldürmek programladığı çocuklar 
Negatif,iyy pis abaza 
Pozitif,benfica yla bir problemim yok problemim olan kişiyi herkes biliyor kulübü seviyorum 
Negatif,sen hala buralarda mısın lan tirrek he kareş nxsnsnns 
Pozitif,dostsuz dünya olmaz imiş dost duasız kalmaz imiş dostun duası 
Pozitif,ilahi adalet var 
Negatif,hay amk nerden selam verdik 
Negatif,desteklediğin barzo senin karakterin bozuk 
Pozitif,yediden yetmişe öğrencisinden hocasına koskoca bir ailenin sahiplenişi kenetlenişidir cerrahpaşaduruşu 
Pozitif,sınavdan önce bira içmek ders çalışırken ezberlediğiniz şeyleri hatırlamanıza yardımcı olur 
Negatif,kafamdaki soru işaretlerini çözemeden ölürsem emin olun gece rüyalarınıza girip girip hayatınıza sıçarım 
Negatif,vay şaşkoloz vayy 
Negatif,görmeyeli çirkinlesmişsin orosbu evladi 
Negatif,aynen yavşak yine başka kıza aşık olmuşsun seviyormuşsun iki gün sonra arkasından orospu dediğini duyar gibiyim 
Pozitif,sn cumhurbaşkanımız genel başkanımız grup konuşmasına başladı haftamız hayırlı olsun 
Negatif,domal bakiyim amina koydumun orospu seni yarragimi boyle amina kokune kadar sokup sokup cikartarak sikerim orospu ht 
Negatif,zehra gıbı olmak istiyorum tek ayak üstünde kırk tane yalan söylüyor 
Negatif,sema sürekli dışarda böyle değil diyolar sayın andaval yorumcular kimse oradaki değil zaten 
Negatif,sen fırlama bı kızsın tuba 
Pozitif,bilgisayar bulamayınca hesabı kapatamadık gitmeden seçim sürecinde burada olmayacağımız kişilere değil özgürlük ilk 
Negatif,aay göüm sikik karı 
Negatif,mert kesinlikle ergenliğine yeniliyor ergen olduğu son sozü kendi söylemek istiyor ergenleri sahneden alalım aq yemekteyiz 
Negatif,fatih terim stadyumunda gerizeka tudor yüzünden mağlup olmak bir ironi örneğidir 
Pozitif,kucağımda yeğenim varken gördüğüm ilgiyi normalde görmüyorum kızlardan kadar çocuk seviyorsunuz madem işi yokuşa sürmeyin 
Negatif,sayfasını bıraz arastırınca gs sevdalısı çıkıyor bunlar herkesi kendileri şerefiz sanarlar 
Pozitif,herkes oğlu okuldan gelince dk ana yemek cikariyor be hayır saate kadar diziye mi daldiniz 
Pozitif,içimde öyle güzelsin onu kirletmeyeceğim seninle 
Negatif,bok vardı geliyon 
Negatif,insanları üzmeyin sıçarım şarap çanağınıza 
Pozitif,adalet duygunuzmantığınız insanlara olan yakınlığınıza göre değişiyorsa üzgünüm adil değilsiniz 
Pozitif,ayı içinde yeni macbook modleri tanıtılacak sıralar bir bilgisayar almayı düşünenler biraz beklesin derim 
Pozitif,bangtan başarılı gururlu hava sahası mümkün 
Pozitif,kübra makyaj temizleme kremini el kremi olarak kullanmış manyak 
Negatif,adam kinaye yapabiliyor kinayeden anliyor almis tane andaval arkasina 
Negatif,lutfen artik su sosyal medyada olmadiginiz davranmayin cok embesil duruyosunuz 
Negatif,bi başımıza yarım akıllı karacahil zırcahil bezirganları çıktı 
Negatif,babasına süpriz yapan aşifte kızı 
Negatif,sen dua et gerizeka tudora karşı puan vermesin bizim hamsi 
Negatif,kanka annenleyiz ateşini al demiştin 
Negatif,günaydın diyin lan köleler ezik itler 
Pozitif,halil sezai berduş halil sezai dertliyim 
Negatif,beklersiniz piç eniği piçler 
Pozitif,işten evime geldim duş aldım şarap müzik eşliğinde kendime yemek yapıyorum 
Negatif,yatırır götünü sikerim hacı 
Pozitif,genelde kırgın olduğu kişilerle muhatap olmaz 
Negatif,aptal oç rüyamda işin var 
Negatif,aşağılık yaratık ağzına geleni söyle sana söylenince duyar kas sahtekar dallama 
Pozitif,dün gece kitap okurken uyuyakalmışım son kaldığım yeri eşim işaretlemiş evlendiğimiz insana eş denildiğini anlıyorum 
Pozitif,kitap fuarı öyle bir yerde olacak kimsenin gelebileceğini pek sanmıyorum şehrin dışına doğru yer yapmışlar bunun heyecanı 
Negatif,dönme artık istemem senin kahpe kalbini 
Pozitif,polemik yaratıp planlı programlı tartışmaları gündeme gelip spnra gururla bunu paylaşanlar ektedir 
Negatif,angut sana kemik atan oldu profil resmi değil fotoğraf 
Pozitif,ayy canım iremim kadar güzel olmuş tatlısın be zalimin kizi 
Pozitif,vizyon yok kardeşim vizyon yemekteyiz 
Negatif,sana noluyo lann apacinin avukati misin 
Negatif,evet normal karakter sahibi insanda video intihar sebebifdir lakin bunlar karatersiz orospu çocukları 
Pozitif,doğa ranta kurban olmasın 
Pozitif,umarım bir gün sizin çocuklarız demokrasi aşkı yanarlar 
Negatif,gerizeka kuzeniniz 
Pozitif,erkeğe uzayda kadın var demişler uzay aracı icat etmiş uçmuş 
Pozitif,tayyip dee seslenen bir çocuk efendim diyen dünyanın tatlı dedesi 
Negatif,bi gavur karısı aldım güzel çalışıyo 
Pozitif,araba kullanma hkı verdio sırada italyalı astronot bayan samantha cristoforetti uzayda 
Negatif,harbi gerizeka tam embesil 
Negatif,la arkamdan laf yapıyor gerzek beyinli hiçbiri karşıma çıkacak kadar erkek değil 
Pozitif,murat tatlısın ahahahahaha 
Pozitif,sıkılınca sevdiğim parçaların olduğu müzik listemi bile siliyorum seni mi unutamıycam 
Negatif,ulan dalyarak sen içerde değilmiydin biçim adalet var arkadaş ülkede piç hapis cezası almadımı 
Negatif,senden bi bok olmaz 
Negatif,gün ölüyor pislik 
Negatif,orospu çocuklari orospu çocuğusunuz hayvanlar 
Negatif,gerizeka tudor 
Pozitif,şevket çoruh özge turna evleniyor 
Negatif,hahahah orospu çocuğu götünden kan alacaklar şimdi 
Negatif,sanane lan adam çekmiş koymuş beğenmiyosan izleme tırrek 
Pozitif,türkiye nin kapsamlı öğrenci olimpiyatı olma özelliği taşıyan güngören bilim kültür sanat spor ligi 
Negatif,esin iyi misin lan şerefiz 
Negatif,ulan ilk yarı geridesin ikinci yarı değişiklik yapmıyorsun yav çıldıracam yav senden hoca moca olmaz ananı bacını 
Negatif,önce yürümeyi öğrensin puşt 
Negatif,kerhane çocuğu cevap versene 
Pozitif,zaten alihan sürekli öyle davrandığı zeynebe tutuldu 
Pozitif,bayadır yolunda mertle mutluyum babamla tartışmıyoruz okul güzel 
Negatif,bizim türk insanı kadar futbol fakiri beyinsiz başka millet yokturtudor sıfırdan takım yaptı liderhala balon fatih terim isteniyor yazık 
Negatif,nil in babası sinan serefiz dedi bak amca diyom beni deli etme ağzını yüzünü dağıtırım 
Negatif,hafif domal sokarım amına götüne yaragımı 
Negatif,azgın kız pelin 
Negatif,olduğun belli neyini anlamayacam andaval 
Pozitif,danla bilic tavuk diyen amca 
Negatif,herkesi kör lemi sersem sanıyor sığırlar 
Pozitif,yarın makyaj yapayım farkı görün djdnjshj 
Pozitif,endeavor dünyasında güzel gelişmeler devam ediyor girisimcilere tebrikler destekcilerimize teşekkürler 
Negatif,defol hain bücür 
Pozitif,hastasını mağdur etmemek öğrencisini hayallerinden mahrum etmemek hocalarını özel hastanelere bırakmamak ülkeyi bilimsiz 
Negatif,ebeni siktir bana akşam akşam 
Negatif,orospu çocukları yine geldikleri gitmişler 
Pozitif,dileriz tez vakitte israil demokrasi gelsin 
Pozitif,çocuğunuzu seviyorsanız ona bir kitap alın seviyorsanız iki kitap alın 
Pozitif,yüksek lisansda başarılı olduğumu söyleyemem yüksek lisansı bitireceğime yürekten inanıyorum 
Pozitif,sındırgı kadın kolları kongremizde tekrar seçilerek başkanlık görevine devam eden nagihan eroğlu yönetimini tebrik ediyor 
Pozitif,an bannerımdaki söz özel bence ait olduğu şarkı the paris 
Negatif,senin saten sonra yapabileceğin tek kudurmak yelloz seni 
Pozitif,izmirkuşlaramezarolmasın gediz deltası sayfa haberlerinde yer almasin 
Negatif,lavuk kızı öyle bi yiyo dönüp baktı ketçap mayonez isticek sandım aq 
Negatif,bacak kadar boyun var türlü türlü huyun var seni gidi dili fitne fücur birazda bücür 
Negatif,sikik bi is var beni buluyo mk 
Negatif,arka masadaki eleman siktir git burnunu sil fırk fırk çekip benim sinirimi bozma burnuna sokarım elimdeki fincanı 
Pozitif,demiyor musunuz saray otel özel hastaneler var cerrahpaşa değilbizim binalarımız eski olabilir 
Negatif,yapiyim amina qoyum dizmi cokuyum karsinizda 
Pozitif,kesimin iyi tanıdığı perinçek in kadar konuşması sistemin kimlerle ittifak tiğinin örneğidir 
Negatif,işsiz olup tek yaptığı dm den kızlara yürüyen yavşak tipli andaval olmaktansa sağlıklı kültürlü zeki oturaklı olurum 
Pozitif,bir güzel kız yüzünden çıldıracağımm 
Negatif,salak ezik sen tam bir ağlaksın 
Negatif,trt bak beni bloklamış benim vergimle beni blokluyor orospu çocukları 
Negatif,habertürk te idris adında baş parmağını sallayarak çıldırmış bir dlama var 
Negatif,orospu catelyn 
Pozitif,bademli çikolata yerken fındık tadı almış bir gün 
Negatif,senin aq pezevenk profilim senin yüzünden genel ev oldu 
Pozitif,sinirlenince ben sinirli bir insanım bts izleyince sinirerimi aldırmış hissediyorum çikolata gibiler 
Negatif,çektirdiğim fotoğraf erkek gibiymiş dönek olup kırma olacağıma sözümün eri delikanlı kız olurum iyi 
Negatif,lanet mi okusam sana 
Pozitif,üşenmeden saydım arkadaşlar bi takipcim gün içinde den fazla twit atmış götürü almış mübarek 
Negatif,kendi karga burnuna bakıp sonra millete bok at istersen aptal bücür 
Negatif,kız fena yım azdım bak kötü sikerim 
Negatif,kıyamam sana amk kızı 
Pozitif,yaa sn var harikasın 
Negatif,amk admin kılıklısı 
Pozitif,konyanın pek farklı olduğu söylenemez bence ilkbahar ikizler burcu 
Negatif,off taş gögüsleri var ylu fahişe 
Pozitif,türk duygularını kabartacak türden dizi film belgesel vb izleyen herkes vasat değildir 
Negatif,öküz sismissin evirilir çevirilir nede siskoluk heryerin sarkiklikla sıkılırsın 
Pozitif,tavuk güveçte olmuyormuş onu anlamadım alaka olmasın 
Pozitif,oh harika ben karşıyaka dan alsancak geçiyorum mutluyum dönesim yok istanbul 
Pozitif,nasılsın kardeşim sesin çıkmıyor 
Pozitif,haftadır ders dinleyemez ders çalışamaz olduk nitelik yükseliyor sanırım 
Negatif,sabahtan gördüm seni aşifte geldin bana 
Pozitif,ana babayaakrabayayetimlere yokslara yolcuyaelinizin altındakilere iyilik edinnisa 
Pozitif,cerrahpasadurusu hastasıyla esnafıyla öğretim görevlisiyle öğrencisiyle personeliyle kırmadan yıkmadan parçalamadan büyüyor 
Negatif,ulan pezevenk ücretini tl al zaman yerli arabaya bin yerli telefon kullan 
Pozitif,makyaj yapma isteğim fırçayı elime alana kadar geçerli 
Pozitif,fen okuryazarlığı yaşamdaki kimya 
Pozitif,chp genel başkanı ankara dan istanbul başlattığı gün süren adalet yürüyüşü 
Negatif,takimi mac farkli fantaziler kurup rakibi bir izlemeyen bir sizofrene emanet ettiginizin zaman farkina varcaklar 
Negatif,sen bir malsın gerzek 
Pozitif,hocam footbl manager çözüm bulalım 
Pozitif,istediğini bilen insanlara özeniyorum ben seçimlerimde düğün öncesi alışverişe çıkarılmış huysuz muhafazakar gelin gibiyim sıfır karar 
Pozitif,bayılıyorsunuz sizi zerre ilgilendirmeyen konulara karışmaya konuşmak kaos çıkarmak insanlara karışmak 
Negatif,lan at kafali dün statta vardi çarşi yokmuydu 
Negatif,ilk önce yazılacağını öğren sonra çağır fenerli değilmi keko 
Negatif,un tasirken mi jeep mi senin ufak beyninle yapmaya calistigin algiyi sikim sisko domuz 
Pozitif,orta okul arkadaşımı buldum mutluyum 
Pozitif,sema yemin ediyorum hallere düştük oturduğumuz yerden sakatlanıyoruz 
Pozitif,insan yaşadığı anı duyğuyu tecrübeye çevirirse başarılı olur 
Pozitif,içinde sen varsın 
Negatif,iki hırbo bilsin kolay şeyler sordular aq 
Pozitif,sinirlenince bile güzelsin be sultanım 
Pozitif,küçük hanımlar küçük beyler sizler hepiniz geleceğin bir gülü yıldızı ikbal ışığısınız yurdu asıl aydınlığa boğacak olanlarsınız 
