Tip,Paylaşım
Pozitif,bi tane erkeğe full makyaj yapmak istiyorum gönlü böyle prof makyaj olacak 
Negatif,bak adamım lk geliyo benim başıma diyorum sana bana ayak yapma sökmez annadın miyop sandın beni ha gördüm seni hile yaptın tamam kadar yeter dersin kendin istedin ben mi dedim sana gel bir atlayayım haydi durma öyle domal 
Pozitif,bizler salatada salyangoz yerken sizler doğa kolejini satın aldınız 
Pozitif,aşırı iyi 
Pozitif,bütün okul sınav derdinde bizimki arada doğum gününü kutlatmaya çalışıyor 
Negatif,netflix mi toplumun ahlakını bozuyor yoksa senin paçavramı 
Negatif,sokayım öyle amaca 
Negatif,selam ben travesti asalet göğüs kalça cm penis sanal sex yapıyorum görüntülü sesli hertürlü fantazi sohbet küfür lü seks whatsapp 
Pozitif,ben tum umudumu yitirdim napalim tipsiz olmak kaderimizde varmis 
Negatif,götünüde sikmişlerdir bi bak bakalım dağılmış kevaşe 
Pozitif,yıllık esaret sona erdi emeği geçenlerden lah razı olsun sırada mescid aksa var inşallah 
Pozitif,özlüyorum gidiyor musun 
Negatif,baston yutanlara götüne koltuk değmeği kaçanlara cüce sevgilisi olanlara şişko koca yüreklilere yer veriniz 
Negatif,favlayanın kaynanası ölsün inş 
Negatif,büyük şerefsizsin 
Pozitif,ben müslüman olmadığım tür sorulara yanıt vermem yakışık almaz bir müslümana rast gelirseniz ona sorabilirsiniz doğru yanıt alır mısınız onu ben bilmem 
Negatif,orospu cocugu allahım karşıma çıkarma bunu öldürebilirim sinirle 
Negatif,almanyada irkci hukumete vericem aq yasadigi koyden memnun olmayip dunya kulturunden bihaber angut 
Negatif,onu ancak senin hıyarlar yapar 
Pozitif,pubg isim değiştiriliyor 
Pozitif,yazip yazip siliyorum sinirden denk geldigimiz zamana bak seytandan kotusunuz 
Pozitif,sahibinden km vicdan ihtiyaç fazlasından satılık 
Negatif,canım araya dalmak istemiş alla la jdjxjsxnjd cüce olmak suç değil cınım jxjdxj 
Pozitif,yakışıklı oldugunuz kadar vay anasını avradanısınızda furkan bey 
Negatif,ulke senin kadar oç unu gormedi 
Negatif,hafifmeşrep kızların bunu dert edeceğini sanmıyorum 
Negatif,direk orospu çocuğu diyeceğim diyemiyorum 
Pozitif,eşimin kullandığı ithal hobi ürününü biraz uğraşla evde ürtim internetten satmaya başladım bintl sermayem vardı son ayın cirosu tl dedi 
Pozitif,peygamber develeri genelde kendinden küçük böceklerle beslenir protein ihtiyacını tam karşılayamaz iri örümcek çıyan yılan fare kendinden büyük canlılarla beslenebilir 
Pozitif,birinin içinde iyiliği gördüysen ondan vazgeçmemelisin özellikle kendisi iyiliği göremiyorsa 
Negatif,sokturma zaman 
Negatif,sanırım tugbaekinci anasından direk yalama olarak doğmuş 
Pozitif,ilk okulda hoca sessiz sinema oyniycaz kitap isimleri ben size kitap adi söylicem anlatıcaksınız dediğinde ben 
Pozitif,sayımız küsür devlete yükümüz olabilir 
Negatif,senin amina koyayım sen birilerin altına yatmış sin belli oruspu fahişe si 
Negatif,şerefsiz köpek karı kimse 
Pozitif,şeye rağmen önemlisi nezaket centilmenlik 
Pozitif,instada influnzır bir hanım erkekler link bırakıyorum story atmış ürün listesinde sadece tüy dökücü jilet var 
Pozitif,yıldız dışında uludağ istikrarlı şikayet duydum ben yıllardır ikna oldum mesela bok iş yaptıklarına 
Pozitif,seni kalbimde ağırlamak isterim 
Pozitif,yolun sagindan yuruyelim konulu sanat eserim 
Pozitif,bora demiyormuydu evrim barış hakkında herşeyi söyler noldu elinizde patladı anlayın aq anlayın barış kimseye bişey yapmadı herkese temiz kalbiyle yanaştı 
Negatif,sensin ezik tirrek 
Negatif,lan puşt suç işlemeyenler enayi mi shshd kesin kazanacağız kesin 
Pozitif,bir sokağımızda çalışma var 
Pozitif,biyoloji hiçbir zaman bir probleme çözüldü damgasını vurup listeden silmez sürekli yeni çözümler icat eder bakmaya devam ettikçe fazlasını buluruz rakipler takımı mimarisi gerekli koşları sağlayan bir sistemdir 
Pozitif,düsmanıma bile kin tutmam sürekli yanında oldugum destek cıktıgım beni ilk fırsatta harcayınca 
Pozitif,yaşadığınız ilişkide sizi incitmekten çekinen yüzünüzü gönlünüzü güldürürken kendisi mutlu olan 
Negatif,fenası aşifte olacaksın 
Pozitif,itler istedi atlar ölmez 
Negatif,ulan andaval bulgara satılan arşivleri kör sağır lal sultan kabul etti 
Negatif,muratylddz hay sikem böyle aşkın izdirabini 
Pozitif,panoromalarda iyilerden bahsedilirken sürekli cemal can dan bahsedilmesi tırnaklarıyla kazıyarak yaptı başarıyı 
Pozitif,benim başım ağrıdı yağ 
Negatif,elit insanlar genelde dalyarak olur 
Pozitif,he kurdunuz birimi yoklar değil mi yada çıkmadan birime aldığınız eş dost akrabalar maaş almaya başladı birimde veteriner hekim yok değil mi 
Pozitif,atimmi şarkı söylediğimiz videoyu kanatıymı kulaklarınızı 
Pozitif,vay gerizeka gönlüm vay 
Negatif,öf bi foto atalim dedik mal mal alintilamayin 
Negatif,zevke doyurayim seni domal önümde got deliğine ağlata ağlata dibine kadar saplayayim dollerim boşa akıyor sana fiskirtmami istermisin 
Negatif,lk seçimde yüze oy vererek tepkisini dile getirecek senin gerzek hemşehrilerin 
Pozitif,rabbim sizi başımızdan eksik etmesin ol rbul lemin size ailenize esenlik saglık sıhhat versin 
Pozitif,tek parti dönemi zihniyeti lağvedilmiştir 
Negatif,ağzında baklayı çıkarmış ha şöyle yola gel 
Pozitif,hocam footbl manager çözüm bulalım 
Pozitif,bekbele mahallesi nden iskenderun belediyesi teşkür 
Pozitif,bulsam alırım gördüklerim kaçıyor yabancılarda kedi köpek kuş börtü yılan furyası geçti şimdi kirpi tilki samur gelincik falan besliyor doyumsuzlar 
Negatif,lan kayseri mal takımsın 
Pozitif,aylık evlilikçocuksuz boşanmaeşit kusur yıldır nafaka ödüyorum takılarıda götürdüdüğün borçları bana kaldıylisans eğ 
Pozitif,öldüğünüz zaman bunun farkında olmazsınız sadece çevrenizdekileri üzer aynı aptal olduğunuzda geçerli 
Negatif,tamam ulan anladık be amına koyam 
Negatif,sikem tribinizi ece kavga ettik atın aq yazmıyom amk 
Negatif,tipsiize emreden iyi dedin ben diyorum tipsiz olsa manken olamaz ao 
Negatif,yavşak herif varya hepiniz aynısınız sözünü yaşatma çabanız gerçekten göz yaşartıcı dalga geçmiyorum ciddi anlamda 
Negatif,adam tam bir mal yaa 
Negatif,ula şizofren git burdan huzurumuzu kaçırma 
Negatif,gündemde tiwitimizin altına salça olan şizofren tayfa 
Pozitif,bizim oğlan geçen internet mi önce icat edildi yoksa bilgisayar dedi tam salak muamelesi yapacak 
Negatif,gerzek it ecdadini sikerim 
Negatif,şimdi hesabı kökünden unfluyorum kadar götlek göbelek varsa boş beleş takılan varsa dışarı hayde st bld çalışıyor 
Negatif,lan sikik devlet senin mi arkasına saklanıyorsun götlek 
Negatif,ulan kepçe kulaklı kiloluk hobbit senin havana sokayım 
Pozitif,neredeyse akşam trafiği başlayacak istanbulda sabah trafiği yeni bitiyor 
Pozitif,derse gelmedik 
Negatif,senin minnet tiklerin benim götü sikikler 
Negatif,arkamızda kral önümüzde soytarı oluyorsunuz 
Negatif,nsanların konuda çifte standardından nefret ediyorum bir lgbt birey başarılıysa el üstünde tutuluyor diğerleri can çekişerek geberebilir hatta mümkünse ben öldüreyim kafasındalar zihniyetinize size 
Pozitif,tagı açanların beynini arıyorumdur 
Negatif,neyse amk banane bunu mi dert edineyim 
Pozitif,kitap okuyun desek okumazsınız şurada tweet lik dedikodu okuyorsunuz abicim bakın olmaz böyle 
Pozitif,yunan lılar sirtaki yapıyoruz 
Negatif,öyle bi stres var vücutta yalın ayak toprağa bsak mahalle aydınlanır mq 
Pozitif,özel hediyen teşekkürler 
Pozitif,ideolojik olsa duramazdın fizyolojiktir cerrahpaşaduruşu 
Negatif,cakma milliyetciler hesaplarini kapatmamislarmiydi dolar sevenler 
Negatif,yarrak adamlar blok 
Pozitif,başarılı değilim becerili değilim güzel değilim galiba evde kaldım 
Negatif,değilse pezevenk sen oluyorsun demektir 
Pozitif,alkole gelen son zamlardan sonra endüstriyel biyoteknolojideki ilgi alanım bilin bakalım hangi alana kaydı 
Negatif,türk futbolunun foseptik çukurlarının şikeden dolup patladığı gün 
Pozitif,başarılı kadının arkasında kendisi vardır 
Pozitif,ozan güven in ifadesini okudum feridun abi yi ararken mantıklı şeyler söylemişti 
Pozitif,kimsenin beni anlamak istemediği bir dönemdeyim 
Pozitif,hayırlı cumalar 
Pozitif,bizi yıldırmaya çalıştıkları şeylerle bizi gaza getirmeleri oylamayı açın yargi dağitacağiz 
Pozitif,güz dönemi online olacak haberlerini okuyorum 
Negatif,lafa bak küçükken salçalı ekmek vardı ulan ekmek hala var salça hala var al sür ye pezevenk 
Pozitif,yaparsanız yapın asla soykırımı unutmayın unutulan soykırım tekrarlanır aliya zzetbegoviç unutmadık asla 
Pozitif,pislik sektörde tertemiz elçin tertemiz kalmak uğraşıyor magazin küçük bi açığını ararken tek fire vermeden gel 
Negatif,sanıyorduk atatürk olduğu bazılarımız namuslu doğduk aramızda oruspu çocukları varmış 
Pozitif,vücudunuz bütün gün televizyon bilgisayar başında oturmak dizayn edilmedi kalkın hareket edin 
Negatif,of mal bunlar amk igrenc 
Pozitif,müebbet hapis cezası alan ilk tek köpek pep pensilvanya valisinin kedisini öldürdüğü yılında mübet hapis cezası almıştır 
Negatif,aşağılık sahtekar şerefsiz utanmaz an itibarıyla kimse ülkesine istemiyor rezil herifi bunun asıl adı dalyarak 
Pozitif,kuran sünnete dayalı dinin herhangi bir hükmünü açıktan inkar edene kafir denir kuran snete dayalı dinin bütün hükümlerine inanıyorum deyip hükümleri bozmaya değiştirmeye çalışana münafık denir kiside slam düşmanıdır azılı düşmandır dersen münafik 
Negatif,bunlara yol mübah özleri başkasına bok atarak yaşıyorlar 
Negatif,carrie senden iğreniyorm aidan birini bigle aldatıyo kadar aptal olunamaz 
Pozitif,olaydan büyük bir ders çıkardım geride bıraktım artık güzellikler benimle 
Pozitif,keşke zamanlara dönsek kadınlar böyle asil şık giyiniyodu erkekler savaşa gidip ölüyodu 
Negatif,sakalına sokam senin sosyal medyanın kısıtlanmasına ramak kalmış yok bakanlık harıl harıl tersine beyin göçü çalışıyormuş hasiktir oradan 
Negatif,gusülü filan almayın pis ağzınıza cenabet köpekler 
Pozitif,şimdiki dostumun adı bir hiçlik bir ağızdan kendine iyi bak 
Pozitif,melih cevdet anday seni düşünüyorum garip şiir 
Pozitif,zmir yüksek teknoloji enstitüsü nün uluslararasılaşma yolundaki önemli adımlardan olan tarihleri arasında yök tarafından gerçekleştirilen study in turkey yök sanal fuar deki standımıza hepinizi bekliyor ilginize teşkür ediyorum 
Negatif,etegini beline kilotunu dizlerine siyir domal duzcem seni 
Pozitif,başarılı kadınların ortak özelliği 
Negatif,git lan burdan 
Negatif,mahalle yanarken orospu saçını tararmış 
Pozitif,ayaklanmamiz gereken bir ton olay var sen gelmis magnum tl diyebilirim 
Negatif,sıkacaksın kafasına 
Pozitif,asırlardır et tırnak misali kardeş milleti son yarım asır çevrilen oyuna kurban etmeyiz türk 
Negatif,vay be kardeşim hafta namaz kılma sadece cumaya git cennetliksin tebrikler orospu çocuğu baya aklı çıktın 
Pozitif,tablo hazirandan 
Pozitif,şimdi bana kaybolan yıllarımı verseler ben kesin yine kaybederim 
Negatif,aptal cumleler kurarak heryerden ben değilim diyerek sandin sen beni nefret ettiğim şeyler zaten 
Negatif,amcik mes beni engelledi bi kafam rahatladı keske önceden ben yapsaymısım 
Pozitif,izlemedim izlemek bir niyetimde yok sene survivor bana yetti exatlon hic cekemem 
Negatif,lanetlenmi kavim 
Negatif,ayla nın kocası gönderdi tam bi gavat 
Pozitif,başın sağolsun allah ailesine sana sabırlar versin 
Pozitif,inanamıyorum şuan tam olarak yanımdan geçen yaşlarındaki adamın telefon müziği save me kendimi sormamak zor 
Pozitif,ilaydayı kursa sürükledim mutluyum 
Negatif,haysiyetsiz bir insansın vesselam 
Negatif,seni kisa boylu bücür şcksşcjlsmxösöşxl 
Negatif,adam gecesi tığı postu yıldönümünde paylaşmış şimdi profilde çınar yapraklı bi bayrak bir tarla faresinin fotosu var vizyonunuza sokim büyük fetöcü zaten sizsiniz amk 
Pozitif,gözler birer parçasıdır sende ilahın 
Negatif,yine kazık oldu var kucağa gelmek isteyen azgın bir bayan sex porno sikiş sanal dul porn türbanlı ensest swinger sik liseli çıtır azdım seks fşa türkçe ifşa türk pornosu sikişmek boşalmak sohbet cinsellik azdım bekar gizli seksi evligizli sanalsex sakso azgın 
Pozitif,çocuksu gülüşleriniz solmasın hiçsiz gülümseyin aydınlans 
Negatif,simdi geber 
Pozitif,ben senden sonra izlemiyorum sahi senden iyisi var hoş geldin sercan yıldırım 
Pozitif,uraz ın kızını anlatışı harikaydı baba olmak yakışıyor helall 
Pozitif,yaşasın tam bağımsız türkiye 
Pozitif,ye hak ettiği emekli aşları verilmezken farklı kurumdan maaş alan asalak yandaşları beslediğinizi 
Pozitif,finalde acun ilıcalı yı unutmayıp yarı siyah tişört giyen koca yürekli orkun 
Pozitif,bebeler sadece kg mama eklenmiş mama desteği almamız yapmamız gerekiyor bunlar köyde günlük kg mama 
Pozitif,hayırlısı be gülüm 
Negatif,sülalem sülalene bela olur 
Negatif,gercekten pisliginde bogul amk 
Pozitif,şimdiki aklım olsaydı var 
Negatif,sana giren kancik 
Pozitif,köpeğini bile kimseye emanet edemeyeceğiniz igrenç bir çağ düşünün şte tam iğrençliğin içerisinde yaşıyoruz sapıklığın hala bir bedeli yok yasalar çıkıyor sözde adalet kurumları çalışıyor hala kadınları çocukları hayvanları koruyamıyoruz 
Negatif,şerefsiz şizofren sensin be fındık üreticisinin feryadını duymayacak kadar sağırsın 
Negatif,senin gibileri idam edilmeli 
Negatif,kafamdaki soru işaretlerini çözemeden ölürsem emin olun gece rüyalarınıza girip girip hayatınıza sıçarım 
Pozitif,kimsenin başına gelmeyen gelemeyecek kadar uç benim başıma gelmiş gelmekte olan olaylardan kitap çıkar 
Pozitif,düğünler korona önlemli başladı kurallara uyanda oldu uymayanda 
Pozitif,şizofren insanlar tedavi olmalılar 
Pozitif,linç yiyormuş bizde durum budur 
Pozitif,ortalık kar kış dikkat edin sıkı giynin 
Pozitif,lütfen destek olalım böyle masum bir çocuğun sesi olalım 
Pozitif,doblo kullınımı suç oranı arasında ilişki sosyal bilimler güzel bir tez konusu 
Pozitif,kürt türk kardeştir 
Pozitif,marifet sarılmakta değil sarılıp bırakmamakta sen özlenecek güzel şeysin hani canının içi şeyindim 
Negatif,kadın kibar adam barzo 
Pozitif,nsan olmak değil insan kalabilmek mesele 
Negatif,yalanını sikem 
Negatif,abarttınız tipsizi 
Pozitif,atatürk orman çiftliği arazisinde üretimine başladığımız macar fiğinin ilk hasadının yapıldığını duyurmaktan mutluluk duyuyorum elde edilen hasadı ankaralı çiftçilerimize hibe olarak dağıtacağız üreten güçlü bir kent olma hedefimiz çalışmalarımıza devam ediyoruz 
Pozitif,edison cennet gidecek mi oğlum bir gün soru geldi çocukluğumdan beri onlarca duyduğum aptal soru ha 
Pozitif,sene açmasınlar bence tek dönem kurtarmaz abi kullanıyorsunuz kafadan ben istiyorum koca yıl online demek milyonlarca kişi neler kaybedecek demek düşünmüyor musunuz 
Pozitif,cumhurbaşkanı danışmanı sayısı kadarmış 
Pozitif,be yeniden heykelle putla dolsun demekle ayasofya kilise olsun demek aynıdır 
Pozitif,bize söylenen güzel bir öğlen yemeği dalış yapılacak dalış metre dalış metre arası toplam 
Negatif,acımayın orosbu evladına bunlara acınmaz kafasına sıkacaksın 
Pozitif,açık hava kısırganma tatlı su kayası kurallaştırma 
Negatif,keske sen bizi tanisan bela oldun resmen bana yemin ediyorum cekil abi 
Negatif,domal nasil saplarim etegi kaldiripta 
Pozitif,polis avukata yumruk atıp cübbesini yıtamaz kabul edilemez öte yandan barolara terör iltisaklı diyen çoklu baro getirmek isteyen iktidar partisi terörist iltisak arıyorsa geçmişini kurcalayıp yoklasın 
Pozitif,katilin sapığın ak parti lisi chp lisi olmaz katil katildir sapık sapıktır çıktı 
Pozitif,yanlış şişebutunlu yunuslar disileri sık taciz eder yüzden dişi yunuslar erkeklerin oldugu sularda yasamayı tercih eder 
Pozitif,beni hemen anlamalısın ben kitap değilim ben öldükten sonra kimse beni okuyamaz yaşarken anlaşılmaya mecburum 
Negatif,kız yelloz bücür tipinle ben seni cdiye alıp nefret bile etmiyorum sen kadar takıldın bana 
Negatif,soytarı kimin vergileriyle maaş alıyor eceba 
Pozitif,dünyada kadar güzel mucizeler varken benim hayatım kadar boktan 
Negatif,kızım sen mal mısın 
Negatif,bunların allahı varmı orospu savurduklrı kahpe godoş anasının amını sikerim kahpe dlüler 
Pozitif,artık sadece ağırbaşlı sohbeti iyi davranması gerektiğini bilen insanlarla muhatap olmak istiyorum boş muhabbeti gereksiz samimiyeti kafam kaldırmıyor 
Pozitif,iyi mutuallarimin hepsini seviyom englemeye kiyamiorum 
Negatif,sikeriz yavrum 
Pozitif,istediğimiz şeyler net duruşumuz net cerrahpaşadan vazgeçmeyiz crahpaşaduruşu 
Negatif,netfilizde elvis belgeseli izleyip götveren oldum 
Negatif,yalancı sahtekar dallama 
Negatif,ahmet davutoğlu çamura battıkça batıyorsun ezik bir adamsın silik bir adamsın gelecek partis 
Negatif,normal doğum kadınları zorluyorsunuz allah belanızı versin normal doğum faşizminize sokayım olaya bak sezaryan var gerizekalı pislikler korku filmi olay yazık günah kadına 
Pozitif,elmanın suçu 
Negatif,sokturma nakitine zoruna gittiyse yürü yunanistan 
Negatif,bensiz mutluysan geber gerizeka 
Negatif,abi öldürmüyorsunuz bari kolunu bacağını kopartın tiplere bak hapishaneler hain doldu 
Pozitif,stedi kleri kadar kivirsinlar gideceği yer belli di renç kirilmiş 
Negatif,böyle vaziyetin içine sokam 
Negatif,godumun çakal garısı sen babandayken neyin olduğunu biliyoduk gerizeka sanıyon sen herkesi şaşkoloz 
Pozitif,fernando reges bir kraldır 
Pozitif,ak partili olmaktan gurur duyuyorum 
Pozitif,deprem stanbulumuzun hatta türkiyemizin önemli gerçeğidir göreve geldiğimiz günden itibaren gerçeği fırsta bıkmadan usanmadan dile getirdik anlayışımız çerçevesinde yapı tespitleri tarama programı nı başlatıyoruz 
Negatif,sıktır git koyduğum 
Negatif,etegını sıyırıp gotten sokarım 
Negatif,zleme kancık şerefsiz ibne şahsiyetsiz orospu çocuğunu 
Pozitif,ülkede babalar kızlarına tecavüz edince sesiniz çıkmıyor hayvanlara çocuklara tecavüz edilince niceleri olun 
Pozitif,asla bir salakla tartışmayın cünkü dışarıdan bakanlarhanginizin salak oldugunu anlamayabilir 
Negatif,kötüler ölsün 
Pozitif,hahahahaha asdfghhghjş adamsın nusret usta 
Negatif,senin beyninin içi bok tutmuş şerefsiz dangoz 
Pozitif,herkes şık şık giyinip ekran başına geçiyor düğün var bende pijamalarımı giydim halvet bekliyorumjabxhsjxjhskz 
Pozitif,hamur işlerini yedikten sonra limonlu ılık su içip vicdan rahatlatmak 
Negatif,senin aklını sikeyim 
Pozitif,hint kokenli olmasi konusunda ayni fikirde degilim gunese yildizlara tapinmadan geldigi dogru asli sabii likten gelir namaz gun oruc bayram kurban sai likten gelir hatta ilk basta muhmed sabii anilir kureysliler ona bize eskinin maslarini anlatma der 
Pozitif,tae düğün fotoğraflarımı sen çek damadı shopla bi ara ekleriz 
Pozitif,madde çıkara dayalı bir ilişki yerine galatasaray tercih et 
Pozitif,üstadın ifadesiyle yeryüzünde adalet varsa kararı red hükmü nakzedecek bozacaktır 
Pozitif,cumamiz mübarek olsun 
Pozitif,masada fatih terim isminin olmaması garip değil mi 
Pozitif,bi ablaa sen bula bula arapça harflerle dolu kolimi buldun diyişi vardı dedim gti çocuk yedim başını 
Pozitif,irem sen güzelsin öyle 
Negatif,başı kapalı cennetlik fahişe 
Negatif,kansizlar kuran kursu yatılı okullarda çocuklara tecavüz tiler sesiniz çıktımı bakan cıktı bide utanmadan bi kereden bisey olmaz dedi zaman böyle konuştunuz midem bulaniyor pisliginizden cahilliginizden yandasliginizdan 
Pozitif,sana aşığım 
Pozitif,istemiştim görmeyi tarihi dokusu bozulmadan fırsat yaratıp gitmediğime pişman oldum 
Pozitif,hocaların duruşu hastaların duruşu esnafın duruşu öğrencilerin duruşu cerrahpaşaduruşu 
Negatif,burda sonda adamların yaptıgı olması lazım burda cahil kadın özne değil nesne durumunda fazla kpss hale getirdi beni değil fena çakmış lafı 
Pozitif,gülmekten karnınızı ağrıtacak iyi komedi filmi 
Negatif,onun bunun çocuklarısınız 
Negatif,böyle günün anasını sikeyim 
Negatif,gelmeyenlerin beynine sokim enesbatur 
Negatif,büyük ibne sensin 
Pozitif,türk kardeştir aksini söyleyen kalleştir 
Pozitif,umurumuzda 
Pozitif,insan onun kemiklerini bizim kesin olarak bir araya getiremiyeceğimizi mi sanıyor 
Negatif,fsalanmıssın hic sexy degilsin tatlım kus öldü can cekiserek 
Negatif,sizin hainlere fırsat vermemek lazım 
Pozitif,baktıkça içim bi hoş oluyo bence sen kesin seversin 
Pozitif,yaşındaki askeri öğrencilerden adaletin haberi var 
Negatif,eceli gelen köpek cami duvarına işermiş gebermiş ateşin bol olsun 
Pozitif,böyle tuzaklara düşmemek gerkir kurtte bizim türkte bizim önemli olan insan olmak ağrıda bizim mardinde bizim konyada bizim edirnede bizim fatihte bizim eyubide bizim ataturkte bizim hacibektasta bizim mevlanada bizim kasıtlı gündeme taşınmıştır filmi gorduk 
Negatif,diğerleri ölsün napalim lens mi takalım xbhshshz 
Negatif,sulandıysan sulanmak istiyorsan dm açık bekliyorum seni sikiş sanal dul türbanlı sikişelim sik liseli çıtır azdım seks fşa sikişmek boşalmak sohbet cinsellik azdım bekar gizli seksi evligizli sanalsex sakso azgın sikisisteyen azmış sikisteyen dil adana 
Negatif,algı yapıyor dümbük takılmayın fazla gidecekler rahat olun 
Pozitif,depresyonu ağır şekilde yaşarken keşfettim bangtan beyleriyaptıkları müziğe aşık oldumhayata tutunmamı sağ 
Pozitif,hayatımsın bunu bilmeni isterim önce bunu bilmeni 
Pozitif,öngörün gerçekleşti maalesef 
Negatif,verdiğiniz sözleri tutmadığınızda sinirleniyorum dönek olmayın 
Negatif,yalaka bunların menfaatçi 
Negatif,bire zındık bire gafil oldu döndün kadar 
Negatif,sitede bi tane götlek vardı zamanında barth vader kilolu hafif kel bi arkadastı yasında anasıyla babasıyla yasayıp pc önünde litrelik kola dikimleyen tiplerdendi kendini kaybedenler kulübü nejat isler sanıyodu naptı öldü hayırlısıyla gece gece aklıma 
Pozitif,orkun ışıtmak isimleri sosyal medyadan iyi tanıyorsunuz 
Pozitif,bin yıllık tarihin katledilişi 
Negatif,taş kağıt makasa forma kaybeden maldır amk hayvan çocuksun döv al 
Pozitif,tarihi birikimiyle çağdaş yarınları kuran izmir büyükşehir belediyesi nin yılı kutlu olsun 
Pozitif,istirahat 
Pozitif,çiftçinin tarlası icradan satılık çiftçinin kredi borcu arttı tarlalar icradan satışa çıktı 
Pozitif,fenerbahçe beko alman kısa forvet danilo barthel anlaştığını açıkladı 
Pozitif,bir ihtimalken bile güzelsin 
Pozitif,yok bana çikolata alacak bir yiğit 
Pozitif,öğreti üyesi mutlugün üstün başarılı genç bilim insanı ödülü aldı 
Negatif,sendeki ami yalayip sikem 
Negatif,harbi sikicem seni he yorumdasın tamam amk gsli sensin sokayım küflü amcığına siktir git hadı orospu çocugu 
Pozitif,adam resmen lot maliyet sorarak kadarlık hangi fiyattan alım yaptığınızı öğrenmeye çalışıyor 
Negatif,feritkw pezevenk demeyelim hayat kadını menajeri diyelim 
Negatif,şanslı pezevenk 
Negatif,bir salak kaydı gözümden 
Pozitif,nato rusya yı tehdit görüyor 
Negatif,allah kahretsin zihniytekileri 
Pozitif,merhaba konuyla ilgili yardımcı olmak isteriz rtibat numaranızı direkt mesaj olarak bize iletir misiniz 
Pozitif,satılık herif 
Negatif,bunun gibileri alacaksın dönemin koşulları yaşayacaksın bak bakalım dayanabilecek mi kit kafalı gerizekalı 
Pozitif,uzuyor uzadıkça bitmiyor bitse sevimsiz akşamlar 
Pozitif,sen gider elin ülkesinde şeriat isterik miting yaparsan elin adamıda yabancılar raus dışarı dolar 
Pozitif,mekanı cennet olsun hkını vermeyen insanlar utansın eyt mağdurları allaha emanet olun 
Negatif,olm sana atilan yaniti kendine gelmis sanmış sal zaten mal 
Pozitif,güzelsin army 
Negatif,güzel olay ölünce bir dikili ağacın olur sonra gelir bir götlek keser benim dalımı 
Negatif,milletin anası ağlıyor zenginden başkası tatil yapamıyor bırakın onlarda ölsün nolcak 
Pozitif,hilmi cem efsane atlayışları 
Negatif,ayar etti amk hasta yakını karı dik dik bakıyor saçma sapan stajyer arkadaşa laf ediyor sen yardım etmiyorsun 
Negatif,yavsak bunlar seytan işi pisliltir yumuşak yasakmı it sidiği 
Pozitif,bekle yapıyorum sırayla geleceğim sana 
Pozitif,yıl önce yalova nın stanbul un ilçesi olduğu zamanlar köyde yetiştirdiğimiz domates cevizleri büyükada satmaya giderdik cevizin domatesin ekmeğini yedik yüzden başımın üstünde yerleri var 
Negatif,sese bak aq cm heralde senin bülük 
Pozitif,bunun galasında sinema salonunu tarasak ülkenin iq ortalaması artar 
Pozitif,kadın sanatçı saydıkların gerçekten sanatçı helal ılsun onlara kadının özelliği var sizler sayesinde ayaklar baş oldu kalite meselesi 
Negatif,sen yalak salak bi kadınsın be 
Negatif,dedigime inanmayanlar olmus ses kaydi atabilirim lol nerden buldun gerizekaliyi diyen kisiyi bekliyorum 
Negatif,bana sosyoloji edebiyattan kalmış diyen orospu evladının etwetlediği posta bak 
Negatif,senin sikikler fenerbahcenin efsanelerine aziz yildirima aykut kocamana saygi duymuyor 
Pozitif,bir ben vardım bir benim aynada yansıyan görüntüm vardı 
Negatif,tek tek içine sokim yarım saat 
Negatif,naber lan tırrek yaştığını yaşamadın 
Pozitif,maske takmanın zorunlu olduğu spanyol gribi yılları kadının göğsünde maskeni tak hapse gir yazıyor lk günlerde gerçekten maske takmayanlar hapse atılıyordu sonra hapiste bulaş riski yüksek olduğundan para cezasına dönüldü maske vatanseverlik sayılırdı 
Pozitif,ankara büyükşehir belediye başkanı mansur yavaş telefonda konuşan teyzenin muhteşem anları 
Pozitif,biraz müzik 
Negatif,uzaktan ahkam kesmek kolay mi seni vatan haini yuzlu pezevenk 
Pozitif,bir sen miydin yoksa bana iyi gelen 
Pozitif,personel fazlası denilerek bin kişinin emekli edildiği trt ye bin kişinin sınavsız olarak işe alındığı 
Negatif,kafamda problem iyiyim parama göre alır şekil senin vizyonuna sokim 
Pozitif,gulmeyin sap mutluyum bekarlık sultanlık by yurda demlik aldık mutluyum 
Pozitif,altin düşüşe gecti sık dişini dax 
Pozitif,cerrahpaşaduruşu bütünü hkına sahip çıkmaktır kimseyi kırmadan kimseyi yermeden naif bi üslup hakkını aramaktır 
Pozitif,kaptan cemal can yaparak takımına son sayısını getiriyor 
Pozitif,buradan atlamadan önce laboratuvarımıza uğrayıp kendinize kilo yürek monte etmeniz gerekir 
Pozitif,ormanı yalnızca ekonomik gelir kaynağı olarak gör halkın gerçek sorunları ilgilenme 
Pozitif,meşhur oldu iş yapar ciddi soruyorum 
Pozitif,darbeler karşısında sertliğini koruyan yumuşak dokunuşlar karşısında esneyebilme özelliğine sahip akışkan 
Pozitif,izmir gediz deltasına körfez geçiş otobanı yapılmasın flamingolar yok olmasın 
Pozitif,lük deprem geliyor 
Pozitif,müslümanlar bilin ayasofya cami peygamberimizin bir millet olduğu idare edilir hadisi şerifi üzere açıldı 
